Test Case_ID,Test Case,Functionality
TC_1,Check user is able to click on login button,Positive
TC_2,Check whether MF and PMS tabs are displayed,Positive
TC_3,Check whether user is able to Click on MF|PMS tabs,Positive
TC_4,check whether PMS is selected by default after clicking on login button,Positive
TC_5,"Check whether user is able to see text ""Lets get started""",Positive
TC_6,To Verify user is able to view PAN number field,Positive
TC_7,To Verify if no input is given,Negative
TC_8,To Verify input is 10 characters long,Positive
TC_9,To verify if input is less than 10 characters,Negative
TC_10,To verify if input is greater than 10 characters,Negative
TC_11,"To verify user enter's the PAN number ""ABCDE1234E"" in this format only",Positive
TC_12,"To verify if user enter's the PAN number other than this format ""ABCDE1234E""",Negative
TC_13,"To verify if user enter's white space in PAN number ""ABC DE1234E""",Negative
TC_14,To verify if user is able to enter special characters in pan number field,Negative
TC_15,"Enter Existing PAN number and click on ""AUTHNTICATE Button""",Positive
TC_16,Check OTP on Mobile number,Positive
TC_17,Check OTP on Email id,Positive
TC_18,"Check PAN Number Field after clicking on ""AUTHNTICATE Button""",Positive
TC_19,To check user is able to view Enter OTP field,Positive
TC_20,To verify OTP entered by user consists of numbers,Positive
TC_21,To verify OTP entered by user consists a length of 6 digits,Positive
TC_22,To verify if OTP entered by user is less than 6 digits,Negative
TC_23,To verify if OTP entered by user is more than 6 digits,Negative
TC_24,To verify if user enter's characters in OTP field,Negative
TC_25,To verify if user enter's special characters in OTP field,Negative
TC_26,To verify if user enter's white spaces in OTP field,Negative
TC_27,To verify if user keep OTP field Blank and click on submit button,Negative
TC_28,To verify user is able to view Submit button,Positive
TC_29,without entering OTP click on Submit button,Negative
TC_30,with entering valid PMS Individual PAN number and valid OTP click on submit,Positive
TC_31,with entering valid PMS Individual PAN number and valid OTP click on submit,Positive
TC_32,with entering valid PMS NRI PAN number and valid OTP click on submit,Positive
TC_33,with entering valid PMS NRI PAN number and valid OTP click on submit,Positive
TC_34,check with entering invalid otp more than 3 times,Negative
TC_35,Click on Resend otp,Positive
TC_36,Click on resend otp more than 4 times,Negative
TC_37,Click on resend otp equal to 4 times,Positive
TC_38,Check by entering Non KYC verified PAN,Positive
TC_39,Check by entering PAN whos having investment in MF but not in PMS,Positive
TC_40,On PMS onboarding page enter details in Existing investor Tab and proceed,Positive
TC_41,On PMS onboarding page enter details in New investor Tab and proceed,Positive
TC_42,Check by entering New investor KYC verified PAN,Positive
TC_43,On PMS onboarding page enter details in Existing investor Tab and proceed,Positive
TC_44,On PMS onboarding page enter details in New investor Tab and proceed,Positive
TC_45,Check and verify logo of Motilaloswal,Positive
TC_46,Check icon of cart,Positive
TC_47,Check by clicking on cart icon,Positive
TC_48,Check and verify all details which are display on cart,Positive
TC_49,Proceed transaction with netbanking,Positive
TC_50,Check and verify name of investor,Positive
TC_51,Check and verify Profile by clicking on it,Positive
TC_52,Check and verify account status for active client,Positive
TC_53,Check and verify account status for Incase redemption is done/It should be display properly and Account status should be Close,Positive
TC_54,Check and verify investor Name,Positive
TC_55,Check and verify mode of holding for single holder,Positive
TC_56,Check and verify mode of holding for joint holder,Positive
TC_57,Check and verify mode of holding for single+joint holder,Positive
TC_58,Check and verify 1st holder name,Positive
TC_59,Check and verify 1st holder DOB,Positive
TC_60,Check and verify 1st holder PAN,Positive
TC_61,Check and verify joint holder name,Positive
TC_62,Check and verify joint holder DOB,Positive
TC_63,Check and verify joint holder PAN,Positive
TC_64,Check and verify email id of 1st applicant,Positive
TC_65,Check and verify mobile number of 1st applicant,Positive
TC_66,Check and verify permanent address of 1st applicant,Positive
TC_67,Check and verify contact details of joint holder,Negative
TC_68,Check & verify name of 1st nominee,Positive
TC_69,Check & verify dob of 1st nominee,Positive
TC_70,Check & verify name of multiple nominee,Positive
TC_71,Check & verify dob of multiple nominee,Positive
TC_72,Check and verify bank name,Positive
TC_73,Check and verify account type,Positive
TC_74,Check and verify name as per bank,Positive
TC_75,Check and verify branch name,Positive
TC_76,Check and verify Account number,Positive
TC_77,Check and verify IFSC Code,Positive
TC_78,Check and verify MICR code,Positive
TC_79,Check wheather logout button display,Positive
TC_80,Check by clicking on logout button,Positive
TC_81,Check wheather My Portfolio menu display or not,Positive
TC_82,Check wheather Top up menu display or not,Positive
TC_83,Check wheather Reports menu display or not,Positive
TC_84,Check wheather PMS update menu display or not,Positive
TC_85,Check wheather Fatca menu display or not,Positive
TC_86,Check whether all data loaded on page or not,Positive
TC_87,Check whether user is able to see �MY PORTFOLIO � as title on dashboard page,Positive
TC_88,Check whether user is able to see �Portfolio as on__current date__� text under page title,Positive
TC_89,Check if PAN having multiple holding pattern,Positive
TC_90,Check if PAN having single holding pattern,Positive
TC_91,Check whether user is able to see total investment box,Positive
TC_92,Check total investment icon,Positive
TC_93,Check Total investment,Positive
TC_94,Check whether user is able to see Current value box,Positive
TC_95,Check Current Value icon,Positive
TC_96,Check Current Value,Positive
TC_97,Check whether user is able to see Total gain box,Positive
TC_98,Check Total Gain icon,Positive
TC_99,Check Total Gain,Positive
TC_100,Check Total Gain/Loss if Profit,Positive
TC_101,Check Total Gain/Loss if Loss,Positive
TC_102,Check whether user is able to see Daily gain/loss box,Positive
